customer_id,first_name,last_name,email,signup_date
1,Jasmine,Williams,eric34@gmail.com,2024-11-04
2,Thomas,Jr.,tammyerickson@gmail.com,2025-08-28
3,Ronald,Villanueva,allison81@hotmail.com,2025-06-05
4,Anthony,Bailey,gibbsbrian@hotmail.com,2024-12-28
5,Traci,Khan,johnsontracy@yahoo.com,2024-12-15
6,Susan,Herrera,vvalenzuela@yahoo.com,2023-12-09
7,Brett,Martinez,nbarry@hotmail.com,2024-06-23
8,Tamara,Johnson,deniserussell@hotmail.com,2024-11-24
9,Julie,Elliott,jeromejohnson@yahoo.com,2024-04-03
10,John,Hood,wmercado@gmail.com,2025-05-20
11,Ryan,Brewer,vcraig@hotmail.com,2024-10-05
12,Christine,Garcia,davidjones@hotmail.com,2024-12-06
13,Katherine,Benjamin,monica70@yahoo.com,2025-05-07
14,Debbie,Barber,shawn71@hotmail.com,2024-08-15
15,Timothy,Montoya,bradley73@gmail.com,2024-10-16
16,Michelle,Phillips,lauramckenzie@gmail.com,2023-12-30
17,Tammy,Silva,yolandamata@gmail.com,2024-09-22
18,Frank,Rasmussen,steelejoseph@yahoo.com,2024-11-23
19,Savannah,Mcconnell,hoffmanjennifer@yahoo.com,2024-02-04
20,Theresa,Copeland,theresarobbins@gmail.com,2024-03-21
21,Brittany,Fuller,lgibson@yahoo.com,2024-10-26
22,Lori,Francis,twaller@yahoo.com,2024-01-02
23,Whitney,Johnson,pfuentes@gmail.com,2024-07-11
24,Harry,Duffy,sherry71@hotmail.com,2024-03-31
25,Daniel,Kirk,esnyder@yahoo.com,2024-10-20
26,Michael,Flowers,sarawallace@gmail.com,2024-04-21
27,Tina,Phelps,bryantamanda@hotmail.com,2025-07-07
28,Frank,Hanna,lindsay82@yahoo.com,2025-04-02
29,Benjamin,Foster,xspence@yahoo.com,2024-05-12
30,Julie,Lee,jjohnson@yahoo.com,2024-05-25
31,Steven,Roberts,chad68@gmail.com,2025-09-14
32,Lori,Green,greggaines@hotmail.com,2025-10-23
33,Daniel,Miller,moralesangela@hotmail.com,2025-01-12
34,Ethan,Martin,shieldsrick@gmail.com,2024-03-22
35,Lawrence,Pope,william95@hotmail.com,2025-03-09
36,Hannah,Reilly,fandrews@gmail.com,2024-05-29
37,Michaela,Rivera,johndorsey@hotmail.com,2024-07-24
38,Brittany,Franklin,abbottsteven@hotmail.com,2024-05-23
39,Jill,Carter,ian21@gmail.com,2025-01-15
40,Patrick,Brown,raymondjacqueline@gmail.com,2025-04-25
41,Reginald,Vaughn,williamsonvictoria@gmail.com,2025-04-05
42,Victoria,Cortez,awelch@yahoo.com,2024-05-23
43,Linda,Graham,debbie72@gmail.com,2025-03-08
44,Douglas,Arroyo,oshaw@yahoo.com,2025-10-11
45,Amy,Woodward,ladams@hotmail.com,2024-01-30
46,Kelly,Gordon,umayer@hotmail.com,2025-07-14
47,Shane,Murphy,katherinecastro@hotmail.com,2024-02-28
48,Brenda,Davis,melissahansen@gmail.com,2024-07-04
49,Brian,Matthews,jamesbrowning@yahoo.com,2024-01-12
50,Michael,Johnson,zperkins@yahoo.com,2023-12-26
51,Michael,Hughes,richard89@hotmail.com,2024-11-04
52,Ernest,Maldonado,hortonjames@hotmail.com,2025-02-11
53,Joseph,Ramirez,elizabeth10@hotmail.com,2025-02-12
54,Michelle,Gregory,thayes@yahoo.com,2024-10-13
55,Denise,Winters,cynthia77@hotmail.com,2024-07-02
56,David,Kennedy,kathleen30@yahoo.com,2024-08-22
57,David,Martin,kellyisabel@hotmail.com,2025-02-16
58,Deborah,Williams,bonillamichael@gmail.com,2024-05-12
59,Evan,Delacruz,john50@yahoo.com,2025-08-24
60,Rebecca,Cook,agutierrez@hotmail.com,2025-02-11
61,Charles,Leon,kleinjennifer@gmail.com,2024-10-19
62,Mary,Ramirez,reedsandy@gmail.com,2024-09-04
63,Melissa,Henderson,paigepruitt@hotmail.com,2025-10-08
64,Tonya,Jordan,jamesmiller@hotmail.com,2024-03-26
65,Steven,Rodriguez,kyle93@gmail.com,2025-08-26
66,Debbie,Stanley,sellerstanya@gmail.com,2024-02-03
67,William,Bentley,rmoore@hotmail.com,2025-02-28
68,Jeffery,Robinson,amberedwards@yahoo.com,2025-05-10
69,Cory,Benitez,watsonpedro@hotmail.com,2024-08-01
70,Amanda,Ramirez,xsmith@yahoo.com,2025-03-13
71,Julia,Daniels,wilsontara@yahoo.com,2024-10-03
72,Emily,Scott,castilloryan@yahoo.com,2025-06-05
73,Maria,Burgess,timothy27@gmail.com,2025-05-24
74,Mary,Morris,wrightjose@gmail.com,2025-03-17
75,Cynthia,Garza,kmanning@hotmail.com,2025-10-07
76,Lance,Price,teresa15@yahoo.com,2024-10-16
77,Dustin,Hart,jessica94@gmail.com,2024-06-09
78,Mrs.,MD,john53@gmail.com,2025-01-21
79,Patrick,Mcdonald,scott40@hotmail.com,2025-01-01
80,Cindy,Riley,geraldmcclain@hotmail.com,2025-07-10
81,Brenda,Alexander,dolson@gmail.com,2024-12-16
82,Brandon,Carter,michaelmorton@yahoo.com,2024-05-02
83,Katie,Kline,vtanner@hotmail.com,2025-10-04
84,Johnny,Martin,bullockteresa@gmail.com,2025-07-31
85,Michael,Gibson,salazartina@gmail.com,2025-04-17
86,Kenneth,Costa,kellyvang@hotmail.com,2023-12-01
87,Michael,Moore,kimberly38@gmail.com,2025-08-02
88,Autumn,Carter,dondavidson@yahoo.com,2024-06-28
89,Kristy,Sullivan,pwilliams@hotmail.com,2025-10-17
90,Tyrone,Spence,angela83@gmail.com,2025-09-15
91,Samantha,Hall,hillelizabeth@yahoo.com,2024-07-06
92,Kimberly,Wolf,royhayes@yahoo.com,2024-03-01
93,Christina,Massey,sandyedwards@gmail.com,2025-10-22
94,Sharon,Marks,bshaw@hotmail.com,2025-08-07
95,Francisco,Campbell,vking@yahoo.com,2025-09-14
96,Laura,Gonzales,jholt@hotmail.com,2025-09-11
97,Benjamin,DVM,acrawford@yahoo.com,2025-04-22
98,Amber,Nichols,hornjanice@hotmail.com,2025-08-05
99,Jill,West,lovebrittany@gmail.com,2024-11-30
100,Tanya,Adams,ugood@yahoo.com,2025-07-29
